Name	Value	Access	
CANFD.GCFG	0x0000'0000	ReadWrite	
CANFD.GCR	0x0000'0000	ReadWrite	
CANFD.GSR	0x0000'0000	ReadWrite	
CANFD.GESR	0x0000'0000	ReadWrite	
CANFD.TSCR	0x0000'7647	ReadWrite	
CANFD.AFCR	0x0000'0000	ReadWrite	
CANFD.AFCFG	0x0020'0000	ReadWrite	
CANFD.RMCR	0x0000'0720	ReadWrite	
CANFD.RMNDR	0x0004'0000	ReadWrite	
CANFD.RMIER	0x0000'0000	ReadWrite	
CANFD.RFCR[0]	0x0000'6300	ReadWrite	
CANFD.RFCR[1]	0x0000'7372	ReadWrite	
CANFD.RFSR[0]	0x0000'0001	ReadWrite	
CANFD.RFSR[1]	0x0000'0001	ReadWrite	
CANFD.RFPCR[0]	0x0000'0000	ReadWrite	
CANFD.RFPCR[1]	0x0000'0000	ReadWrite	
CANFD.CFCR0	0x0000'0000	ReadWrite	
CANFD.CFSR0	0x0000'0001	ReadWrite	
CANFD.CFPCR0	0x0000'0000	ReadWrite	
CANFD.FESR	0x0000'0103	ReadWrite	
CANFD.FFSR	0x0000'0000	ReadWrite	
CANFD.FMLSR	0x0000'0000	ReadWrite	
CANFD.RFISR	0x0000'0000	ReadWrite	
CANFD.TMCR[0]	0x00	ReadWrite	
CANFD.TMCR[1]	0x00	ReadWrite	
CANFD.TMCR[2]	0x00	ReadWrite	
CANFD.TMCR[3]	0x00	ReadWrite	
CANFD.TMSR[0]	0x00	ReadWrite	
CANFD.TMSR[1]	0x00	ReadWrite	
CANFD.TMSR[2]	0x00	ReadWrite	
CANFD.TMSR[3]	0x00	ReadWrite	
CANFD.TMTRSR0	0x0000'0000	ReadWrite	
CANFD.TMARSR0	0x0000'0000	ReadWrite	
CANFD.TMTCSR0	0x0000'0000	ReadWrite	
CANFD.TMTASR0	0x0000'0000	ReadWrite	
CANFD.TMIER0	0x0000'0001	ReadWrite	
CANFD.TISR	0x0000'0000	ReadWrite	
CANFD.GTMCR	0x0000'0000	ReadWrite	
CANFD.GTMER	0x0000'0000	ReadWrite	
CANFD.GFDCFG	0x0000'0000	ReadWrite	
CANFD.GTMLKR	0x0000'0000	ReadWrite	
CANFD.AFIGSR	0x0000'0000	ReadWrite	
CANFD.AFIGER	0x0000'0000	ReadWrite	
CANFD.DTCR	0x0000'0000	ReadWrite	
CANFD.DTSR	0x0000'0000	ReadWrite	
CANFD.GRCR	0x0000'0000	ReadWrite	
CANFD.AFL[0]_IDR	0x0000'011f	ReadWrite	
CANFD.AFL[0]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[0]_PTR0	0x0000'8100	ReadWrite	
CANFD.AFL[0]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[1]_IDR	0x0000'0225	ReadWrite	
CANFD.AFL[1]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[1]_PTR0	0x0000'8200	ReadWrite	
CANFD.AFL[1]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[2]_IDR	0x0000'0274	ReadWrite	
CANFD.AFL[2]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[2]_PTR0	0x0000'8300	ReadWrite	
CANFD.AFL[2]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[3]_IDR	0x0000'014f	ReadWrite	
CANFD.AFL[3]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[3]_PTR0	0x0000'8400	ReadWrite	
CANFD.AFL[3]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[4]_IDR	0x0000'015f	ReadWrite	
CANFD.AFL[4]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[4]_PTR0	0x0000'8500	ReadWrite	
CANFD.AFL[4]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[5]_IDR	0x0000'0001	ReadWrite	
CANFD.AFL[5]_MASK	0x8000'dced	ReadWrite	
CANFD.AFL[5]_PTR0	0x0000'0000	ReadWrite	
CANFD.AFL[5]_PTR1	0x2222'2222	ReadWrite	
CANFD.AFL[6]_IDR	0x2222'2222	ReadWrite	
CANFD.AFL[6]_MASK	0x0000'0000	ReadWrite	
CANFD.AFL[6]_PTR0	0x0000'0000	ReadWrite	
CANFD.AFL[6]_PTR1	0x0000'0000	ReadWrite	
CANFD.AFL[7]_IDR	0x0000'0000	ReadWrite	
CANFD.AFL[7]_MASK	0x0000'0000	ReadWrite	
CANFD.AFL[7]_PTR0	0x0000'0000	ReadWrite	
CANFD.AFL[7]_PTR1	0x0000'0000	ReadWrite	
CANFD.AFL[8]_IDR	0x0000'0000	ReadWrite	
CANFD.AFL[8]_MASK	0x0000'0000	ReadWrite	
CANFD.AFL[8]_PTR0	0x0000'0000	ReadWrite	
CANFD.AFL[8]_PTR1	0x0000'0000	ReadWrite	
CANFD.AFL[9]_IDR	0x0000'0000	ReadWrite	
CANFD.AFL[9]_MASK	0x0000'0000	ReadWrite	
CANFD.AFL[9]_PTR0	0x0000'0000	ReadWrite	
CANFD.AFL[9]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[10]_IDR	0x0000'02fb	ReadWrite	
CANFD.AFL[10]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[10]_PTR0	0x0000'8b00	ReadWrite	
CANFD.AFL[10]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[11]_IDR	0x0000'0351	ReadWrite	
CANFD.AFL[11]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[11]_PTR0	0x0000'8c00	ReadWrite	
CANFD.AFL[11]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[12]_IDR	0x0000'039b	ReadWrite	
CANFD.AFL[12]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[12]_PTR0	0x0000'8d00	ReadWrite	
CANFD.AFL[12]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[13]_IDR	0x0000'00b1	ReadWrite	
CANFD.AFL[13]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[13]_PTR0	0x0000'8e00	ReadWrite	
CANFD.AFL[13]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[14]_IDR	0x0000'03a5	ReadWrite	
CANFD.AFL[14]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[14]_PTR0	0x0000'8f00	ReadWrite	
CANFD.AFL[14]_PTR1	0x0000'0001	ReadWrite	
CANFD.AFL[15]_IDR	0x0000'0339	ReadWrite	
CANFD.AFL[15]_MASK	0xc000'07ff	ReadWrite	
CANFD.AFL[15]_PTR0	0x0000'9000	ReadWrite	
CANFD.AFL[15]_PTR1	0x0000'0001	ReadWrite	
CANFD.RTPAR[0]	0x0000'0001	ReadWrite	
CANFD.RTPAR[1]	0x0000'0001	ReadWrite	
CANFD.RTPAR[2]	0x0000'0001	ReadWrite	
CANFD.RTPAR[3]	0x0000'0001	ReadWrite	
CANFD.RTPAR[4]	0x0000'0001	ReadWrite	
CANFD.RTPAR[5]	0x0000'0001	ReadWrite	
CANFD.RTPAR[6]	0x0000'0001	ReadWrite	
CANFD.RTPAR[7]	0x0000'0001	ReadWrite	
CANFD.RTPAR[8]	0x0000'0001	ReadWrite	
CANFD.RTPAR[9]	0x0000'0001	ReadWrite	
CANFD.RTPAR[10]	0x0000'0001	ReadWrite	
CANFD.RTPAR[11]	0x0000'0001	ReadWrite	
CANFD.RTPAR[12]	0x0000'0001	ReadWrite	
CANFD.RTPAR[13]	0x0000'0001	ReadWrite	
CANFD.RTPAR[14]	0x0000'0001	ReadWrite	
CANFD.RTPAR[15]	0x0000'0001	ReadWrite	
CANFD.RTPAR[16]	0x0000'0001	ReadWrite	
CANFD.RTPAR[17]	0x0000'0001	ReadWrite	
